,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
2763,Freshworks,,,,SaaS,,"Sequoia, Capitalg, Accel",13/11/2019,Series D to late stage,150000000,3.74,,
2764,Sunstone Eduversity Pvt. Ltd,,,,EdTech,Gurgaon,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Co-Founder Rajul Garg",13/11/2019,Early stage,1500000,3.74,,
2765,Misters,,,,Health & Fitness,Gurgaon,"Sauce.Vc, Rainforest Ventures",14/11/2019,Series B,486000,3.74,,
2766,Ninjacart,,,,Consulting,Bangalore,Trifecta Capital Advisors,15/11/2019,Series B,26000000,3.74,,
2767,Vogo Automotive,,,,Transportation,,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",15/11/2019,Series B,283000000,3.74,,
2768,Burger Singh,,,,Food & Beverages,Gurgaon,Rb Investments,17/11/2019,,0,3.74,,
2769,Healthians,,,,Health & Fitness,Gurgaon,"Dg Daiwa Ventures, Dg Incubation",18/11/2019,Series B,12000000,3.74,,
2770,Medikabazaar,2014.0,,Male,Health & Fitness,Greater Mumbai,"Ackermans & Van Haaren, Healthquad, Rebright Partners, Toppan Printing",18/11/2019,,0,3.74,,
2771,Digital Mall Asia,,,,E-commerce,Delhi,Amour Infrastructure,19/11/2019,Early stage,220000000,3.74,,
2772,Furtados School Of Music,,,,EdTech,,Ian Fund And Dsg Consumer Partners,19/11/2019,Other,200000000,3.74,,
2773,Aye Finance,,,,Fintech,Gurgaon,Fintech,20/11/2019,Series A,17411265,3.74,,
2774,Clumio,,,,SaaS,"San Jose,","Altimeter Capital, Sutter Hill Ventures",20/11/2019,Series C,135000000,3.74,,
2775,Paytm,,,,Fintech,Noida,Vijay Shekhar Sharma,25/11/2019,Other,1000000000,3.74,,
2776,Cardekho,,,,E-commerce,Gurgaon,Ping An Global Voyager Fund,06/12/2019,Series D to late stage,70000000,3.74,Yes,1.2
2777,Rein Games,,,,Gaming,Noida,Manipal Education And Medical Group (Memg),11/12/2019,Early stage,50000000,3.74,,
2778,Ecozen,,,,Technology,Pune,Sathguru Catalyzer Advisors,12/12/2019,Series A,6000000,3.74,,
2779,Rivigo,,,,Technology,Gurgaon,"Saif Partners, Spring Canter Investment Ltd.",13/12/2019,Series D to late stage,20000000,3.74,Yes,1.1
2780,Trell,2016.0,,Male,Entertainment,Bangalore,Ruizheng Investment,14/12/2019,Early stage,2000000,3.74,,
2781,Licious,2015.0,,Male,E-commerce,Bangalore,Vertex Growth Fund,16/12/2019,Series D to late stage,30000000,3.74,Yes,1.3
2782,Incred,,,,Fintech,Greater Mumbai,,16/12/2019,Early Stage,5900000,3.74,,
2783,Healthians,,,,Food & Beverages,Bangalore,"Paytm, Nptk, Sabre Partners And Neoplux",17/12/2019,Series C,12000000,3.74,,
2784,Lenskart.Com,,,,E-commerce,Faridabad,Softbank Vision Fund,20/12/2019,Series D to late stage,231000000,3.74,,
2785,Adonmo,2017.0,"Sandeep Bommireddi, Sravanth Gajula",,IT,Bangalore,Ant Financial,01/01/2020,Other,3000000,-6.6,,
2786,Racenergy,2018.0,"Arun Sreyas, Gautham Maheswaran",,Automotive,,"Growx Ventures, Prophetic Ventures",01/01/2020,,0,-6.6,,
2787,Bharatpe,2018.0,Ashneer Grover,,Fintech,Delhi,Coatue Management,01/01/2020,Other,100000000,-6.6,,
2788,Vogo,2016.0,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",,Automotive,Bangalore,Lightstone Aspada,01/01/2020,Series C,35000000,-6.6,,
2789,Yolo,2019.0,"Shailesh Gupta, Mukul Shah, Danish Chopra",,Transportation,,Undisclosed,01/01/2020,Early stage,600000,-6.6,,
2790,Unotech,2011.0,Vikash Jha,,SaaS,Greater Mumbai,Manish Choksi,01/01/2020,Other,2000000,-6.6,,
2791,Zetwerk,2018.0,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",,Marketplace,Bangalore,Innoven Capital,01/01/2020,Other,2200000,-6.6,Yes,2.5
2792,Wizklub,2018.0,Amit Bansal,,EdTech,Bangalore,Incubate Fund India,01/01/2020,Early stage,982530,-6.6,,
2793,Interviewbit,2014.0,Abhimanyu Saxena,,EdTech,Pune,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (Ebd)",01/01/2020,Series A,200000000,-6.6,,
2794,Moneytap,2016.0,"Bala Parthasarathy, Anuj Kacker, Kunal Varma",,Fintech,,"Aquiline Technology Growth (Atg), Rtp Global, Sequoia India",01/01/2020,Series B,70185200,-6.6,,
2795,Uniplatform Tech,2015.0,"Rohit Manghnani, Amit K Jaiswal, Iccha Manghnani",,SaaS,Delhi,"Frontline Strategy Finds, Sucseed Venture Partners Llp",01/01/2020,,0,-6.6,,
2796,Bizongo,2015.0,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Male,Marketplace,Greater Mumbai,Schroder Adveq,01/01/2020,,0,-6.6,,
2797,Appsflyer,2011.0,"Oren Kaniel, Reshef Mann",,SaaS,Bangalore,General Atlantic,01/01/2020,Series D to late stage,210000000,-6.6,,
2798,Digit Insurance,2016.0,Kamesh Goyal,,Fintech,Bangalore,"A91 Partners, Faering Capital, Tvs Capital",01/01/2020,Other,84000000,-6.6,,
2799,Livspace,2014.0,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",,Fashion,Bangalore,"Tahoe Investment Group, Mercer Investment",01/01/2020,Series D to late stage,60000000,-6.6,,
2800,Getvantage,,Bhavik Vasa,,Fintech,Greater Mumbai,"Samyakth Capital, Venture Catalysts",01/01/2020,,0,-6.6,,
2801,Konfinity,2018.0,"Navratn Singh, Kamal Pandey",,EdTech,Noida,Angel Investors,01/01/2020,,0,-6.6,,
2802,Pine Labs,1998.0,"Lokvir Kapoor, Rajul Garg, Tarun Upaday",,Fintech,Noida,Mastercard,01/01/2020,,0,-6.6,Yes,5.0
2803,Instoried,2018.0,Sharmin Ali,,SaaS,Delhi,"Sosv, Chinaccelerator",01/01/2020,,0,-6.6,,
2804,Nupay,,"Neeraj Singh, Alok Arora",,Fintech,,Venture Catalysts,01/01/2020,,0,-6.6,,
2805,Samosa Singh,2016.0,"Shikhar Veer Singh, Nidhi Singh",,Food & Beverages,Bangalore,She Capital,01/01/2020,Series A,2700000,-6.6,,
2806,Bounce,2014.0,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni",,Automotive,Bangalore,"Accel Partners, B Capital",01/01/2020,Series D to late stage,105000000,-6.6,,
2807,Park+,2019.0,Amit Lakhotia,Male,IT,,"Sequoia Capital, Matrix Partners India",01/01/2020,Other,11000000,-6.6,,
2808,Goodmylk,2017.0,Abhay Rangan,Male,Food & Beverages,Bangalore,"Ginni International, Elisa Khong, Sandeep Singh, Veginvest",01/01/2020,,0,-6.6,,
2809,Skylo,2017.0,Trivedi,,IT,,Softbank Group,01/01/2020,Series B,103000000,-6.6,,
2810,Tea Trunk,2013.0,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",,Food & Beverages,Goa,Angel Investors,01/01/2020,Other,220000,-6.6,,
2811,Zoomcar,2013.0,"Greg Moran, David Back",,Other,Bangalore,Sony Innovation Fund,01/01/2020,Series D to late stage,30000000,-6.6,,
2812,Mera Cashier,2019.0,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,",,Fintech,Noida,"Amit Singal, Manish Aggarwal",01/01/2020,Early stage,250000,-6.6,,
2813,Kristal Ai,2016.0,"Asheesh Chanda, Vineeth Narasimhan",,AI,,Chiratae Ventures,01/01/2020,Series A,6000000,-6.6,,
2814,Invento Robotics,,"Balaji Viswanathan, Be Limitless Inc., Zingfin.Com, Nalandau",,AI,,"Windrose Capital, Iti Growth Opportunities Venture Fund",01/01/2020,Early stage,281300,-6.6,,
2815,Sabse Sasta Dukaan,2016.0,"Anish Agarwal, Anant Jain",,Health & Fitness,Kolkata,Angel Investors,01/01/2020,,0,-6.6,,
2816,Fitphilia,,Nirav Patil,,Health & Fitness,Greater Mumbai,Angel Investors,01/01/2020,,0,-6.6,,
2817,Medicus,,"Bhavesh Shah, Manav Shah",,Health & Fitness,Greater Mumbai,Angel Investors,01/01/2020,Other,12700,-6.6,,
2818,Monech,,,,Fintech,Greater Mumbai,Angel Investors,01/01/2020,Early stage,12700,-6.6,,
